reaction_id,event_name,sport,event_date,video_title,video_id,video_url,channel_name,channel_id,comment_id,comment_url,comment_text,comment_author,comment_published_at,like_count,reply_count
YT2000221,2026 Green Mountain Championship,Disc Golf,,Final Round Highlights | MPO | 2026 Green Mountain Championship,UoebFpL95VE,https://www.youtube.com/watch?v=UoebFpL95VE,Disc Golf Pro Tour,UCw0WzNn6m2Na6ZW7rKqWI3g,UgyYBdNfrW9apQtpsXF4AaABAg,https://www.youtube.com/watch?v=UoebFpL95VE&lc=UgyYBdNfrW9apQtpsXF4AaABAg,Letsgooo!!,@lesketom,2026-09-22T00:00:00Z,0,
YT2000222,Belgium vs Czechia (2026 CEV EuroVolley),Volleyball,,Highlights | BELGIUM vs. CZECHIA | CEV Enel EuroVolley 2026 Men | Eight Finals,PW7s66Q3ZPk,https://www.youtube.com/watch?v=PW7s66Q3ZPk,European Volleyball,UC8XRC858pOERvclUDb_d7rg,UgznUDqCjJUT2JqgUTd4AaABAg,https://www.youtube.com/watch?v=PW7s66Q3ZPk&lc=UgznUDqCjJUT2JqgUTd4AaABAg,Belgium survived the second set and the Czech ran out of gas,@EduardoGrassoTV,2026-09-21T22:00:00Z,1,
YT2000223,Wallabies vs France (2026 Nations Championship),Rugby,,Wallabies v France Highlights | Nations Championship 2026 | Round 2,qKCIZyiqjbc,https://www.youtube.com/watch?v=qKCIZyiqjbc,Wallabies,UC4Y6lpmGz2rkbOVdrOhjgvQ,UgyNSugvbSJbK_D0tnt4AaABAg,https://www.youtube.com/watch?v=qKCIZyiqjbc&lc=UgyNSugvbSJbK_D0tnt4AaABAg,Man. Gutted to see Wallabies go down.,@ethelnaera7377,2026-07-23T00:00:00Z,0,
YT2000224,PSG vs Arsenal (2026 UEFA Champions League Final),Football,,PSG vs. Arsenal: Extended Highlights | UCL Final | CBS Sports Golazo,tRnJRQmVMTg,https://www.youtube.com/watch?v=tRnJRQmVMTg,CBS Sports Golazo,UCET00YnetHT7tOpu12v8jxg,UgwAmLAhgz0O2_8_wkB4AaABAg,https://www.youtube.com/watch?v=tRnJRQmVMTg&lc=UgwAmLAhgz0O2_8_wkB4AaABAg,I was in the hall watching this game and Arsenal fans were talking trash. They got humbled,@RobertGuill-l5o,2026-09-09T00:00:00Z,2,
YT2000225,"Afghanistan vs India (2026 T20I Series, Match 3)",Cricket,,Full Match Highlights | Afghanistan vs India | Match 03 | T20I Series 2026 | ACB | M9N1J,TapC28fhANQ,https://www.youtube.com/watch?v=TapC28fhANQ,Sports Central by DRM,UC-fzWbU1zavz77kP1gPPdSg,UgyHIAr7QJm4Bi20B-B4AaABAg,https://www.youtube.com/watch?v=TapC28fhANQ&lc=UgyHIAr7QJm4Bi20B-B4AaABAg,Incredible India,@Bharatshah95A,2026-09-21T00:00:00Z,0,
YT2000226,Carlos Alcaraz vs Jannik Sinner (2026 Monte-Carlo Final),Tennis,,Carlos Alcaraz vs Jannik Sinner FIRST Final of 2026 🔥 | Monte-Carlo 2026 Final Highlights,dQUKOY8D3IE,https://www.youtube.com/watch?v=dQUKOY8D3IE,Tennis TV,UCbcxFkd6B9xUU54InHv4Tig,Ugw-TdGMiDte8iRslN54AaABAg,https://www.youtube.com/watch?v=dQUKOY8D3IE&lc=Ugw-TdGMiDte8iRslN54AaABAg,"Normalement Sinner est meilleur joueur sur terre battue. Beaucoup le verront après, et bien meilleur que Carlos.",@academieadp808,2026-09-02T00:00:00Z,0,
YT2000227,2026 Australian Grand Prix,Formula 1,2026-03-08,Fans React to the 2026 Australian Grand Prix,uvMholf0zLI,https://www.youtube.com/watch?v=uvMholf0zLI,Kr1s,UCz-llHGeBJB06SA6g-Q_JKA,UgycvMpU3kQMHK_2VU54AaABAg,https://www.youtube.com/watch?v=uvMholf0zLI&lc=UgycvMpU3kQMHK_2VU54AaABAg,"1:20 
""This is why this generation of car is so ass. The rears locked because of superclip.""

I'm all for new fans and what not but don't comment on regulation quality when you clearly dont understand what your talking about 😭😭",@bill4665,2026-07-23T00:00:00Z,0,
YT2000228,Atlanta Dream vs New York Liberty (2026 WNBA),Basketball,2026-09-21,"Atlanta Dream vs. New York Liberty | FULL GAME HIGHLIGHTS | September 21, 2026",Cazz5y4tbg8,https://www.youtube.com/watch?v=Cazz5y4tbg8,WNBA,UCO9a_ryN_l7DIDS-VIt-zmw,Ugxdn95EseXQyh3Uegp4AaABAg,https://www.youtube.com/watch?v=Cazz5y4tbg8&lc=Ugxdn95EseXQyh3Uegp4AaABAg,...Gritty W!,@julesjackson4178,2026-09-22T13:44:00Z,0,
YT2000229,"Italy Gold Highlights, 2026 European Athletics Championships",Athletics,,ITALIA 🇮🇹 Every Gold Highlights | Birmingham 2026 European Athletics Championships,YKRgXPIqK7s,https://www.youtube.com/watch?v=YKRgXPIqK7s,European Athletics,UCp21zu_8Hd0w9HULooemRCA,UgyODJEuR5j5UMYQwLN4AaABAg,https://www.youtube.com/watch?v=YKRgXPIqK7s&lc=UgyODJEuR5j5UMYQwLN4AaABAg,commento automatico RIDICOLO.,@yu-tu_official,2026-09-11T00:00:00Z,0,
YT2000230,Kim/Seo vs Alfian/Fikri (2026 BWF World Championships),Badminton,,Kim/Seo vs Alfian/Fikri | Fast-paced exchanges keep you on the edge,BmNEKEIZD1k,https://www.youtube.com/watch?v=BmNEKEIZD1k,BWF TV,UChh-akEbUM8_6ghGVnJd6cQ,Ugy8tHngo5bhUClQC2F4AaABAg,https://www.youtube.com/watch?v=BmNEKEIZD1k&lc=Ugy8tHngo5bhUClQC2F4AaABAg,07:59 Indonesian coach reaction 😁😁,@huahintrainspotters,2026-08-23T00:00:00Z,2,
YT2000231,Vegas Golden Knights vs Carolina Hurricanes (2026 Stanley Cup Final Game 1),Hockey,,FULL REPLAY: Game 1 | Golden Knights vs. Hurricanes | 2026 Stanley Cup Final,A5xMc1hSnoQ,https://www.youtube.com/watch?v=A5xMc1hSnoQ,NHL,UCqFMzb-4AUf6WAIbl132QKA,UgwCwKTw1RzXhNAZdax4AaABAg,https://www.youtube.com/watch?v=A5xMc1hSnoQ&lc=UgwCwKTw1RzXhNAZdax4AaABAg,The entire Final is uploaded? That's good stuff. Wasn't able to watch this year. Huge thanks.,@WetSlimDog,2026-09-02T00:00:00Z,0,
YT2000232,Bam Rodriguez vs Vargas (2026 Boxing),Boxing,,Bam Rodriguez Knocks Out Vargas To Become Three-Weight World Champ | Matchroom Boxing,5i51aZYjocM,https://www.youtube.com/watch?v=5i51aZYjocM,Matchroom Boxing,UC7LReVje9aPB4B6XAsXX8WQ,UgxoN1exYEQxCohTDUp4AaABAg,https://www.youtube.com/watch?v=5i51aZYjocM&lc=UgxoN1exYEQxCohTDUp4AaABAg,What does he think Inoue's punch is going to be like?,@gageboy14,2026-08-23T00:00:00Z,0,
YT2000233,Amru Magomedov vs Angel Alvarez (2026 PFL New York),MMA,,A DESTRUCTIVE DISPLAY! | Amru Magomedov v Angel Alvarez - Fight Highlights | PFL New York,MazPHXIWMVk,https://www.youtube.com/watch?v=MazPHXIWMVk,PFL MMA,UCPrONRG9hO1f-OrxW-WH-xg,UgzL2xojwh9BDzj_mG54AaABAg,https://www.youtube.com/watch?v=MazPHXIWMVk&lc=UgzL2xojwh9BDzj_mG54AaABAg,He looks better than usman. Can’t wait for the next fight,@skidrow-black,2026-09-02T00:00:00Z,1,
YT2000234,2026 Biltmore Championship,Golf,,"PGA Tour Highlights: 2026 Biltmore Championship Asheville, Final Round | Golf Channel",rL6FUtWrgjA,https://www.youtube.com/watch?v=rL6FUtWrgjA,Golf Channel,UC5igJFdBQVqg7hXFI7075OQ,UgwPw2Y2Da3acXudb5F4AaABAg,https://www.youtube.com/watch?v=rL6FUtWrgjA&lc=UgwPw2Y2Da3acXudb5F4AaABAg,Why didn’t they show Bridgeman’s birdie on 17 that basically won the tournament?,@lindsaynewell6319,2026-09-22T00:00:00Z,1,
