platform,source_id,source_url,source_title_or_caption,author_or_channel,sport,event_name,source_timestamp,records_collected
YouTube,C6pEbH23Vzc,https://www.youtube.com/watch?v=C6pEbH23Vzc,"India vs Japan Women Asian Games Quarter Final Highlights 2026,INDW vs JapW Quarter Final Highlights",Cricket Watchers,Cricket,India vs Japan (2026 Asian Games Women’s Cricket Quarterfinal),20260918,0
YouTube,Gwj8ItilOWA,https://www.youtube.com/watch?v=Gwj8ItilOWA,BREAKING Asian Games 2026: India women’s team crush Japan in cricket quarterfinal,Sports Today,Cricket,India vs Japan (2026 Asian Games Women’s Cricket Quarterfinal),20260918,0
YouTube,w5UVzDFGrBU,https://www.youtube.com/watch?v=w5UVzDFGrBU,"Live: Asian games 2026 Day 4 India!! Shooting, Wushu, Kabaddi, Hockey, TT, Medals Loading! Scores",Vibhor Shrivastava Entertainment,Multi-sport,Asian Games 2026 Day 4 India coverage,20260922,3
YouTube,AGOyHVfZFBs,https://www.youtube.com/watch?v=AGOyHVfZFBs,"🔴 Asian Games 2026 LIVE | India vs Sri Lanka Hockey, India vs Korea Table Tennis, Shooting | Day 4",Khel Now TV,Multi-sport,Asian Games 2026 Day 4 India coverage,20260922,0
YouTube,iq7ba5s5xLU,https://www.youtube.com/watch?v=iq7ba5s5xLU,"🔴ASIAN GAMES 2026 DAY 4 REPORT: CRICKET में INDIA का GOLD से धमाका, दो और MEDALS हुए CONFIRM",Sports Tak,Multi-sport,Asian Games 2026 Day 4 India coverage,20260922,0
YouTube,nbaXN1qe5Ow,https://www.youtube.com/watch?v=nbaXN1qe5Ow,LIVE - Day 4 - 20th Asian Games Aichi-Nagoya 2026 | Doordarshan Sports,Prasar Bharati Sports,Multi-sport,Asian Games 2026 Day 4 India coverage,20260922,0
YouTube,h4v4IxHCuyM,https://www.youtube.com/watch?v=h4v4IxHCuyM,"🔴 Asian Games 2026 LIVE | India vs Sri Lanka Cricket, India vs Japan Badminton, Boxing | Day 4",Khel Now TV,Multi-sport,Asian Games 2026 Day 4 India coverage,20260922,0
YouTube,kwHDRETgVfk,https://www.youtube.com/watch?v=kwHDRETgVfk,"🔴 Live: IND-W vs SL-W, Final Asian Games 2026 | Hindi Commentary & Score | Cricket Match Watch Along",CricTalks2,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,0
YouTube,x9hJtIxR-nk,https://www.youtube.com/watch?v=x9hJtIxR-nk,INDIA'S EPIC DAY 3! 🇮🇳🥇 Cricket GOLD | Thrash Japan in Badminton 3-0! | Asian Games 2026 #india,Mr MBA Sports,Multi-sport,Asian Games 2026 India Day 4,20260922,0
YouTube,0qjpB38wSFE,https://www.youtube.com/watch?v=0qjpB38wSFE,"Breaking News: एक ही दिन में 2 बार Pakistan को हराया, भारत का दमदार प्रदर्शन | Asian Games 2026",Aaj Tak,Multi-sport,Asian Games 2026 Day 4 India coverage,20260921,3
YouTube,wH9v5V8YFhk,https://www.youtube.com/watch?v=wH9v5V8YFhk,India’s BIG Asian Games Day! 2 Silvers + Cricket Final 🔥,StumpTales,Multi-sport,Asian Games 2026 India Day 4,20260921,27
YouTube,F-2RQpTs_0U,https://www.youtube.com/watch?v=F-2RQpTs_0U,Asian Games 2026: India Wins First Gold | Women’s Cricket & Suchika Tariyal Make History | News18,CNN-News18,Cricket,Asian Games 2026 India women’s cricket gold,20260922,2
YouTube,0WoQqoL7q5M,https://www.youtube.com/watch?v=0WoQqoL7q5M,"Team India Wins Gold at Asian Games 2026, Coach and Players Celebrate",The Tribune,Cricket,India women’s cricket gold medal celebration (2026 Asian Games),20260922,0
YouTube,LInc7YLrHOM,https://www.youtube.com/watch?v=LInc7YLrHOM,22 September Results Round-Up!,Study India Sports GS,Multi-sport,Asian Games 2026 September 22 results,20260922,0
YouTube,Ipy8enhSQmI,https://www.youtube.com/watch?v=Ipy8enhSQmI,LIVE - Day 3 - 20th Asian Games Aichi-Nagoya 2026 | Doordarshan Sports,Prasar Bharati Sports,Multi-sport,Asian Games 2026 Day 3 India coverage,20260921,1
YouTube,sb5ey0GabSs,https://www.youtube.com/watch?v=sb5ey0GabSs,"🔴 Asian Games 2026 LIVE | India vs Pakistan Table Tennis, Kabaddi, Boxing & Medal Hunt | Day 3",Khel Now TV,Multi-sport,Asian Games 2026 Day 3 India coverage,20260921,2
YouTube,Thp3W_pN4Pk,https://www.youtube.com/watch?v=Thp3W_pN4Pk,"Asian Games 2026: India schedule on September 20, event timings and medal chances",Sports Today,Multi-sport,Asian Games 2026 Day 3 India schedule,20260919,1
YouTube,YMxos2epgRg,https://www.youtube.com/watch?v=YMxos2epgRg,"Asian Games 2026 Day 2: India Bags Two Shooting Silvers, Women’s Cricket Team Enters Final | News18",CNN-News18,Multi-sport,Asian Games 2026 Day 2 India coverage,20260920,1
YouTube,zOrydAjJwuU,https://www.youtube.com/watch?v=zOrydAjJwuU,Asian Games 2026: India Shines In Nagoya! 2 Silvers And Cricket Final Berth | Breaking News | ET Now,ET Now,Multi-sport,Asian Games 2026 India Day 3 coverage,20260921,1
YouTube,ghZ8Z22gO2Y,https://www.youtube.com/watch?v=ghZ8Z22gO2Y,Asian Games 2026 Medal Tally Day 2 | 21 September 2026 | All Countries Medal Table | India Medals,The Knowledge Guru,Multi-sport,Asian Games 2026 medal tally,20260921,0
YouTube,P8GFTHPodL8,https://www.youtube.com/watch?v=P8GFTHPodL8,"India Women vs Srilanka Women, Final Live Analysis & Discussion INDW vs SLW Asian Games Final 2026",Sports With Vishesh,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,1
YouTube,2xujkEsQU-k,https://www.youtube.com/watch?v=2xujkEsQU-k,🔴 Asian Games 2026 Day 3 LIVE  Commentary | Women’s Cricket Final & Shooting | India Live Score,Only Truth,Multi-sport,Asian Games 2026 Day 3 India coverage,20260922,0
